28,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.3,33868,Harry Potter and the Sorcerer's Stone,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Rowling/dp/059035342X
29,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.5,1848,In Cold Blood,https://www.amazon.com/Cold-Blood-Truman-Capote/dp/0679745580
30,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.4,1272,Interpreter of Maladies,https://www.amazon.com/Interpreter-Maladies-Jhumpa-Lahiri/dp/039592720X
31,6%,6%,6%,6%,6%,"['6%', '6%', '6%', '6%', '6%']",4.4,728,Invisible Man,https://www.amazon.com/Invisible-Man-Ralph-Ellison/dp/0679732764
32,8%,8%,8%,8%,8%,"['8%', '8%', '8%', '8%', '8%']",4.1,187,Jimmy Corrigan: The Smartest Kid on Earth,https://www.amazon.com/Jimmy-Corrigan-Smartest-Pantheon-Graphic/dp/0375714545
33,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.5,2866,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly,https://www.amazon.com/Kitchen-Confidential-Updated-Adventures-Underbelly/dp/0060899220
34,11%,11%,11%,11%,11%,"['11%', '11%', '11%', '11%', '11%']",3.7,3725,Life After Life: A Novel,https://www.amazon.com/Life-After-Novel-Kate-Atkinson/dp/0316176494
35,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.7,636,Little House on the Prairie: Full Color Edition,https://www.amazon.com/Little-House-Prairie-Full-Color/dp/0061958271
36,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",4.1,1424,Lolita,https://www.amazon.com/Lolita-Everymans-Library-Contemporary-Classics/dp/0679410430
37,11%,11%,11%,11%,11%,"['11%', '11%', '11%', '11%', '11%']",4.0,967,Love in the Time of Cholera,https://www.amazon.com/Love-Time-Cholera-Oprahs-Book/dp/0307389731
38,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.6,4991,Love Medicine: Newly Revised Edition,https://www.amazon.com/Love-Medicine-Newly-Revised-P-S/dp/0061787426
39,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.7,4240,Man's Search for Meaning,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/0807014273
40,8%,8%,8%,8%,8%,"['8%', '8%', '8%', '8%', '8%']",4.0,1477,Me Talk Pretty One Day,https://www.amazon.com/Me-Talk-Pretty-One-Day/dp/0316776963
41,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.2,2530,Middlesex: A Novel,https://www.amazon.com/Middlesex-Novel-Oprahs-Book-Club/dp/0312427735
42,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",3.9,437,Midnight's Children: A Novel,https://www.amazon.com/Midnights-Children-Modern-Library-Novels/dp/0812976533
43,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.6,1328,Moneyball: The Art of Winning an Unfair Game,https://www.amazon.com/Moneyball-Art-Winning-Unfair-Game/dp/0393324818
44,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.4,421,Of Human Bondage,https://www.amazon.com/Human-Bondage-Bantam-Classics/dp/055321392X
45,11%,11%,11%,11%,11%,"['11%', '11%', '11%', '11%', '11%']",3.9,1462,On the Road,https://www.amazon.com/Road-Jack-Kerouac/dp/014312028X
46,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.4,388,Out of Africa,https://www.amazon.com/Africa-Modern-Library-Nonfiction-Books/dp/0679600213
47,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.5,1063,Persepolis: The Story of a Childhood,https://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Novels/dp/037571457X
48,8%,8%,8%,8%,8%,"['8%', '8%', '8%', '8%', '8%']",3.8,272,Portnoy's Complaint,https://www.amazon.com/Portnoys-Complaint-Philip-Roth/dp/0679756450
49,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.6,7829,Pride and Prejudice,https://www.amazon.com/Pride-Prejudice-Oxford-Worlds-Classics/dp/0199535566
50,10%,10%,10%,10%,10%,"['10%', '10%', '10%', '10%', '10%']",4.5,626,Silent Spring,https://www.amazon.com/Silent-Spring-Rachel-Carson/dp/0618249060
51,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.2,3301,Slaughterhouse-Five: A Novel,https://www.amazon.com/Slaughterhouse-Five-Novel-Modern-Library-Novels/dp/0385333846
52,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.8,3156,Team of Rivals: The Political Genius of Abraham Lincoln,https://www.amazon.com/Team-Rivals-Political-Abraham-Lincoln/dp/0743270754
53,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.2,867,The Age of Innocence,https://www.amazon.com/Age-Innocence-Signet-Classics/dp/0451530888
54,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.3,1111,The Amazing Adventures of Kavalier & Clay,https://www.amazon.com/Amazing-Adventures-Kavalier-Clay/dp/0812983580
55,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.8,1213,The Autobiography of Malcolm X: As Told to Alex Haley,https://www.amazon.com/Autobiography-Malcolm-Told-Alex-Haley/dp/0345350685
