1_star_a,2_star_a,3_star_a,4_star_a,5_star_a,overall_rating_a,total_rating_number_a,title,url_a,1_star_g,2_star_g,3_star_g,4_star_g,5_star_g,overall_rating_g,total_rating_number_g,goodreads_id,url_g
6,3,7,14,70,4.3,1083,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,https://www.amazon.com/Fear-Loathing-Las-Vegas-American/dp/0679785892,0,0,0,66,33,4.33,3,36536834,https://www.amazon.com/Fear-Loathing-Las-Vegas-American/dp/0679785892
8,7,15,27,43,4.0,44867,Gone Girl,https://www.amazon.com/Gone-Girl-Gillian-Flynn/dp/0307588378,2,4,16,37,38,4.05,1806456,19288043,https://www.amazon.com/Gone-Girl-Gillian-Flynn/dp/0307588378
4,2,4,6,84,4.7,3211,Goodnight Moon,https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0060775858,1,4,14,23,55,4.27,264578,32929,https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0060775858
4,3,6,17,70,4.5,9376,Great Expectations,https://www.amazon.com/Great-Expectations-Dover-Thrift-Editions/dp/0486415864,4,8,23,33,29,3.76,553594,2623,https://www.amazon.com/Great-Expectations-Dover-Thrift-Editions/dp/0486415864
7,5,10,24,54,4.3,2441,"Guns, Germs, and Steel: The Fates of Human Societies",https://www.amazon.com/Guns-Germs-Steel-Fates-Societies/dp/0393061310,2,5,18,36,37,4.01,207718,1842,https://www.amazon.com/Guns-Germs-Steel-Fates-Societies/dp/0393061310
5,4,5,10,76,4.3,33887,Harry Potter and the Sorcerer's Stone,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Rowling/dp/059035342X,1,2,9,23,63,4.46,5453355,3,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Rowling/dp/059035342X
2,2,8,22,66,4.5,1848,In Cold Blood,https://www.amazon.com/Cold-Blood-Truman-Capote/dp/0679745580,2,4,17,35,39,4.06,437641,168642,https://www.amazon.com/Cold-Blood-Truman-Capote/dp/0679745580
3,3,7,24,63,4.4,1272,Interpreter of Maladies,https://www.amazon.com/Interpreter-Maladies-Jhumpa-Lahiri/dp/039592720X,0,3,17,40,38,4.13,137913,5439,https://www.amazon.com/Interpreter-Maladies-Jhumpa-Lahiri/dp/039592720X
6,5,8,16,65,4.4,728,Invisible Man,https://www.amazon.com/Invisible-Man-Ralph-Ellison/dp/0679732764,3,7,22,33,32,3.85,137147,16981,https://www.amazon.com/Invisible-Man-Ralph-Ellison/dp/0679732764
8,5,10,11,66,4.1,187,Jimmy Corrigan: The Smartest Kid on Earth,https://www.amazon.com/Jimmy-Corrigan-Smartest-Pantheon-Graphic/dp/0375714545,3,6,14,28,47,4.09,20106,34072,https://www.amazon.com/Jimmy-Corrigan-Smartest-Pantheon-Graphic/dp/0375714545
2,3,8,24,63,4.5,2872,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly,https://www.amazon.com/Kitchen-Confidential-Updated-Adventures-Underbelly/dp/0060899220,1,3,20,41,33,4.02,162997,33313,https://www.amazon.com/Kitchen-Confidential-Updated-Adventures-Underbelly/dp/0060899220
11,11,17,23,38,3.7,3726,Life After Life: A Novel,https://www.amazon.com/Life-After-Novel-Kate-Atkinson/dp/0316176494,2,6,24,36,29,3.84,271984,28580921,https://www.amazon.com/Life-After-Novel-Kate-Atkinson/dp/0316176494
7,5,8,18,62,4.1,1425,Lolita,https://www.amazon.com/Lolita-Everymans-Library-Contemporary-Classics/dp/0679410430,4,7,20,32,35,3.89,556256,7604,https://www.amazon.com/Lolita-Everymans-Library-Contemporary-Classics/dp/0679410430
11,9,10,14,56,4.0,967,Love in the Time of Cholera,https://www.amazon.com/Love-Time-Cholera-Oprahs-Book/dp/0307389731,3,7,20,34,34,3.9,344075,9712,https://www.amazon.com/Love-Time-Cholera-Oprahs-Book/dp/0307389731
4,4,6,14,72,4.6,4998,Love Medicine: Newly Revised Edition,https://www.amazon.com/Love-Medicine-Newly-Revised-P-S/dp/0061787426,3,7,20,34,34,3.9,344075,9712,https://www.amazon.com/Love-Medicine-Newly-Revised-P-S/dp/0061787426
1,1,4,11,83,4.7,4242,Man's Search for Meaning,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/0807014273,1,2,11,30,54,4.35,241443,4069,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/0807014273
8,7,9,20,56,4.0,1477,Me Talk Pretty One Day,https://www.amazon.com/Me-Talk-Pretty-One-Day/dp/0316776963,3,5,18,34,38,3.97,547116,4137,https://www.amazon.com/Me-Talk-Pretty-One-Day/dp/0316776963
5,5,11,21,58,4.2,2530,Middlesex: A Novel,https://www.amazon.com/Middlesex-Novel-Oprahs-Book-Club/dp/0312427735,12,0,18,18,50,3.94,16,4421272,https://www.amazon.com/Middlesex-Novel-Oprahs-Book-Club/dp/0312427735
7,12,12,17,52,3.9,437,Midnight's Children: A Novel,https://www.amazon.com/Midnights-Children-Modern-Library-Novels/dp/0812976533,2,6,18,33,38,3.99,90673,14836,https://www.amazon.com/Midnights-Children-Modern-Library-Novels/dp/0812976533
1,1,7,24,67,4.6,1328,Moneyball: The Art of Winning an Unfair Game,https://www.amazon.com/Moneyball-Art-Winning-Unfair-Game/dp/0393324818,1,2,12,38,45,4.25,77803,1301,https://www.amazon.com/Moneyball-Art-Winning-Unfair-Game/dp/0393324818
2,4,7,18,69,4.4,421,Of Human Bondage,https://www.amazon.com/Human-Bondage-Bantam-Classics/dp/055321392X,1,4,16,35,42,4.12,41170,31548,https://www.amazon.com/Human-Bondage-Bantam-Classics/dp/055321392X
11,10,11,16,52,3.9,1462,On the Road,https://www.amazon.com/Road-Jack-Kerouac/dp/014312028X,3,6,18,34,37,3.96,603904,6288,https://www.amazon.com/Road-Jack-Kerouac/dp/014312028X
3,4,8,19,66,4.4,389,Out of Africa,https://www.amazon.com/Africa-Modern-Library-Nonfiction-Books/dp/0679600213,1,5,21,37,34,3.96,27636,781787,https://www.amazon.com/Africa-Modern-Library-Nonfiction-Books/dp/0679600213
3,3,5,19,70,4.5,1063,Persepolis: The Story of a Childhood,https://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Novels/dp/037571457X,0,2,13,37,45,4.24,131088,9516,https://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Novels/dp/037571457X
8,11,12,20,49,3.8,273,Portnoy's Complaint,https://www.amazon.com/Portnoys-Complaint-Philip-Roth/dp/0679756450,3,9,26,35,25,3.7,46801,43945,https://www.amazon.com/Portnoys-Complaint-Philip-Roth/dp/0679756450
