35,1,3,16,30,47,4.19,"221,840",77767,Little House on the Prairie,https://www.amazon.com/Little-House-Prairie-Full-Color/dp/0061958271
36,4,7,20,32,35,3.89,"556,256",7604,Lolita,https://www.amazon.com/Lolita-Everymans-Library-Contemporary-Classics/dp/0679410430
37,3,7,20,34,34,3.9,"344,075",9712,Love in the Time of Cholera,https://www.amazon.com/Love-Time-Cholera-Oprahs-Book/dp/0307389731
38,3,7,20,34,34,3.9,"344,075",9712,Love Medicine: Newly Revised Edition,https://www.amazon.com/Love-Medicine-Newly-Revised-P-S/dp/0061787426
39,1,2,11,30,54,4.35,"241,443",4069,Man's Search for Meaning,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/0807014273
40,3,5,18,34,38,3.97,"547,116",4137,Me Talk Pretty One Day,https://www.amazon.com/Me-Talk-Pretty-One-Day/dp/0316776963
41,12,0,18,18,50,3.94,16,4421272,Middlesex: A Novel,https://www.amazon.com/Middlesex-Novel-Oprahs-Book-Club/dp/0312427735
42,2,6,18,33,38,3.99,"90,673",14836,Midnight's Children: A Novel,https://www.amazon.com/Midnights-Children-Modern-Library-Novels/dp/0812976533
43,1,2,12,38,45,4.25,"77,803",1301,Moneyball: The Art of Winning an Unfair Game,https://www.amazon.com/Moneyball-Art-Winning-Unfair-Game/dp/0393324818
44,1,4,16,35,42,4.12,"41,170",31548,Of Human Bondage,https://www.amazon.com/Human-Bondage-Bantam-Classics/dp/055321392X
45,3,6,18,34,37,3.96,"603,904",6288,On the Road,https://www.amazon.com/Road-Jack-Kerouac/dp/014312028X
46,1,5,21,37,34,3.96,"27,636",781787,Out of Africa,https://www.amazon.com/Africa-Modern-Library-Nonfiction-Books/dp/0679600213
47,0,2,13,37,45,4.24,"131,088",9516,Persepolis: The Story of a Childhood,https://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Novels/dp/037571457X
48,3,9,26,35,25,3.7,"46,801",43945,Portnoy's Complaint,https://www.amazon.com/Portnoys-Complaint-Philip-Roth/dp/0679756450
49,2,3,12,27,53,4.25,"2,404,402",1885,Pride and Prejudice,https://www.amazon.com/Pride-Prejudice-Oxford-Worlds-Classics/dp/0199535566
50,2,5,21,37,33,3.95,"27,715",27333,Silent Spring,https://www.amazon.com/Silent-Spring-Rachel-Carson/dp/0618249060
51,2,3,12,30,51,4.26,"2,382,445",33616893,Slaughterhouse-Five: A Novel,https://www.amazon.com/Slaughterhouse-Five-Novel-Modern-Library-Novels/dp/0385333846
52,3,3,10,28,54,4.28,"122,488",2199,Team of Rivals: The Political Genius of Abraham Lincoln,https://www.amazon.com/Team-Rivals-Political-Abraham-Lincoln/dp/0743270754
53,2,5,22,36,33,3.94,"122,776",53835,The Age of Innocence,https://www.amazon.com/Age-Innocence-Signet-Classics/dp/0451530888
54,1,4,14,33,45,4.17,"166,496",3985,The Amazing Adventures of Kavalier & Clay,https://www.amazon.com/Amazing-Adventures-Kavalier-Clay/dp/0812983580
55,0,1,12,36,50,4.35,146,48454,The Autobiography of Malcolm X: As Told to Alex Haley,https://www.amazon.com/Autobiography-Malcolm-Told-Alex-Haley/dp/0345350685
56,1,2,10,29,56,4.36,"1,452,415",19063,The Book Thief,https://www.amazon.com/Book-Thief-Markus-Zusak/dp/0375842209
57,2,7,20,36,32,3.9,"199,168",297673,The Brief Wondrous Life of Oscar Wao,https://www.amazon.com/Brief-Wondrous-Life-Oscar-Wao/dp/1594483299
58,5,8,21,31,33,3.8,"2,307,546",5107,The Catcher in the Rye,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769177
59,1,3,18,38,37,4.07,"89,789",29209,The Color of Water: A Black Man's Tribute to His White Mother,https://www.amazon.com/Color-Water-Black-Tribute-Mother/dp/159448192X
60,2,3,12,32,49,4.24,"1,927",92573,The Corrections: A Novel,https://www.amazon.com/Corrections-Novel-Jonathan-Franzen/dp/0312421273
61,1,5,19,38,35,3.99,"399,511",21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",https://www.amazon.com/Devil-White-City-Madness-Changed/dp/0375725601
62,2,4,17,32,44,4.11,"2,242,447",48855,The Diary of a Young Girl,https://www.amazon.com/Diary-Young-Girl-Anne-Frank/dp/0307594009
63,2,3,13,28,52,4.25,"2,816,538",11870085,The Fault in Our Stars,https://www.amazon.com/Fault-Our-Stars-John-Green/dp/014242417X
64,1,4,16,33,43,4.12,"1,420,604",3636,The Giver,https://www.amazon.com/Giver-Lois-Lowry/dp/0385732554
